Identifiant;Nom générique;Nom de la manifestation;Descriptif court;Descriptif long;Date début;Date fin;Horaires;Dates affichage - horaires;Modification dernière minute;Lieu - nom;Lieu - adresse 1;Lieu - adresse 2;Lieu - adresse 3;Code postal;Commune;Type de manifestation;Catégorie de la manifestation;Thème de la manifestation;Station métro/Tram à proximité;GoogleMap latitude;GoogleMap longitude;Réservation téléphone;Réservation email;Réservation site internet;Manifestation gratuite;Tarif normal;Tarif enfant;Tranche âge enfant;Geo Point
FMAMID031V50ISH5;;CHRISTOPHE MAE;Christophe Maé enfin de retour ! Depuis plus d’une décennie, le chanteur enchaîne les succès, chacune de ses tournées crée l’événement.;Christophe Maé sortira son nouveau single « Les gens » le 4 septembre, extrait de son nouvel album à paraître à l’automne, et remontera sur scène dans toute la France en 2020. Ce prochain show ambitieux et généreux nous réserve de nombreuses surprises !;2020-11-26;2020-11-26;A 20h.;Le 26/11/2020 - A 20h.;;ZENITH TOULOUSE METROPOLE;;11 Avenue Raymond Badiou;;31300;TOULOUSE;Musique;Concert;;Zénith;43.598264;1.4092542;;;zenith-toulousemetropole.com/programmation/christophe-mae-2235.html;;;;;43.598264,1.4092542
FMAMID031V50JIGM;;CINÉ-CONCERT : THE LODGER (LES CHEVEUX D’OR) – HITCHCOCK (TOULOUSE LES ORGUES);"Une grande improvisatrice à Saint-Sernin
Ciné-concert, improvisation";"Alfred Hitchcock considérait The Lodger comme son premier vrai film. Réalisé en 1927, le long-métrage muet offrait une intrigue rappelant celle de Jack l’éventreur avec un héros au profil énigmatique et trouble, une jeune femme blonde et séduisante, des meurtres non élucidés, une intrigue où la psychologie est essentielle… La force du film muet soutenu par les improvisations puissantes et lyriques de l’organiste de Saint-Sulpice à Paris, Sophie Véronique Cauchefer-Choplin.

AU PROGRAMME
The Lodger : A Story of the London Fog d’A. Hitchcock (1927)
Improvisation à l’orgue

INTERPRETES
Sophie-Véronique CAUCHEFER-CHOPLIN, orgue

En partenariat avec la Cinémathèque de Toulouse

Ouverture de la billetterie : Lundi 21 septembre 2020
Réservation fortement conseillée en raison du contexte sanitaire";2020-10-15;2020-10-15;A 20h30.;Le 15/10/2020 - A 20h30.;;BASILIQUE SAINT-SERNIN;;Place Saint Sernin;;31000;TOULOUSE;Culturelle, Musique;Cinéma, Concert, Festival;Musical;Métro ligne B Jeanne d'Arc;43.607964;1.440742;05 61 33 76 87;;billetterie.toulouse-les-orgues.org;;De 8,00 € à 18,00 €;;;43.607964,1.440742
FMAMID031V50I5E2;;CODE ALIMENTATION;"Explorons l'alimentation du futur.
L'alimentation est un sujet d'actualité qui soulève de nombreux débats, passionnés et passionnants.";"Scénarisée par des auteurs de science-fiction en collaboration avec des chercheurs, Code alimentation vous propose d'appréhender l'alimentation d'aujourd'hui et de demain à travers une expérience de visite singulière et gamifiée qui vous plongera dans un univers futuriste.

Dès le début de la visite, vous entrerez dans la peau d'un agent secret employé par ""L'Agence"", un collectif de scientifiques, et vous serez investi d'une mission très spéciale : vous rendre dans le futur, afin de mener une enquête alimentaire dans la ville de Trapellun. Pour passer incognito, l'agent secret endossera l'identité d'un avatar. Votre objectif ? Trouver et ramener dans le présent des spécimens du futur, des technologies, des espèces ou de nouveaux usages que vous jugerez utiles à l'alimentation de demain. Pour ce faire, vous relèverez des défis à travers de nombreux jeux et manipulations.
Bonne chance, le futur compte sur vous !

Par le biais de la science-fiction et d'une visite à la fois ludique et interactive, l'exposition vous donnera le maximum de clés pour comprendre et penser l'alimentation durable. Elle vous amènera à vous interroger sur tous les aspects de l'alimentation, de la production à la consommation en passant par la transformation, la distribution et ses impacts sur la santé de l'homme et de la planète.

Une exposition coproduite par le Quai des savoirs et Science Animation avec l'INRA, en partenariat avec l'lNP Purpan, l'INSERM, le CNRS, L'Université Fédérale Toulouse Midi-Pyrénées, le Rectorat, le Crous, Planète Sciences Occitanie, L'Obs, Usbek & Rica, France 3 Occitanie et RTL 2.

L'exposition sera accompagnée d'une programmation culturelle spéciale : pique-nique avec un chef, repas-débats, ateliers, cinés-débats...";2020-06-02;2020-09-06;Du mardi au dimanche de 10h à 18h. Fermé le 1er mai.;Du 02/06/2020 au 06/09/2020 - Du mardi au dimanche de 10h à 18h. Fermé le 1er mai.;;QUAI DES SAVOIRS;;39 Allées Jules Guesde;;31000;TOULOUSE;Culturelle;Exposition;;Palais de Justice;43.5945853;1.4502551;;;www.quaidessavoirs.fr/la-grande-expo#/?_k=752ylj;;De 5,00 € à 7,00 €;;plus de 12 ans;43.5945853,1.4502551
FMAMID031V50JIAE;;DANS LES DÉDALES DE JULES VERNE (TOULOUSE LES ORGUES);"Immersion musicale imminente
Jeune public, orgue en famille 
A partir de 7 ans.";"Attention au départ ! Avec Jules Verne, aventure et inventions ne sont jamais éloignées.
Dans ce spectacle plein de fantaisie, les artistes emmènent enfants et parents dans un voyage au cœur des célèbres machines de l’écrivain et dans le ventre de l’orgue ! Bienvenue dans une grande fresque musicale dont vous serez le héros

INTERPRETES
Baptiste GENNIAUX, orgue
Vincent DUBUS, orgue.

Ouverture de la billetterie : Lundi 21 septembre 2020
Réservation fortement conseillée en raison du contexte sanitaire";2020-10-10;2020-10-10;A 15h;Le 10/10/2020 - A 15h;;EGLISE DU GESU;22bis Rue des Fleurs;;;31000;TOULOUSE;Culturelle, Musique;Festival, Spectacle;Musical;Métro ligne B Carmes ou Palais de Justice;43.5944978;1.44695495;05 61 33 76 87;;billetterie.toulouse-les-orgues.org;;De 5,00 € à 5,00 €;;8 - 12 ans  /  plus de 12 ans;43.5944978,1.44695495
FMAMID031V50JTGJ;;EDO CIRQUE;"L’esthétique de l’ours
Tout public
Durée: 20 min";"Tout commence sous un chapiteau kazakh lorsqu’un ours brun met un premier pied sur une bascule hongroise. Malgré le brouhaha de la piste, la fanfare, les cris, les applaudissements, le temps s’arrête. Le public retient son souffle.
L’ours est prêt, son poids légèrement sur les talons.
La position pour un départ vers l’arrière.
Les acrobates sont dans les airs.
Ils vont toucher la planche.
Et là.
PAF
L’ours est dans les airs.
La tête en bas.
Il fait un salto.
EDO est né.
L’ours acrobate est un point de départ. Mieux : un point de retour. L’ours n’est ni le sujet, ni le thème de ce spectacle. Il est présent parce qu’il l’a été. Il est un bout d’histoire utile pour ne pas oublier.
Les trois acrobates d’EDO cirque sont à cheval (mangé par l’ours) entre crétinerie et virtuosité, entre infantilisme et adultisme, entre absurde et sublime (les uns n’empêchant pas les autres d’ailleurs).

Jauge réduite, réservations téléphonique uniquement  : 05 61 24 92 02";2020-10-08;2020-10-08;A 16h;Le 08/10/2020 - A 16h;;LA GRAINERIE;;61 Rue Saint-jean;;31130;BALMA;Culturelle;Animations, Spectacle;Cirque;Métro ligne A Balma Gramont;43.622437;1.488283;05 61 24 92 02;;;Oui;;;;43.622437,1.488283
FMAMID031V50IZ1M;;"EXPOSITION ""ANTOINE DE SAINT EXUPÉRY : UN PETIT PRINCE PARMI LES HOMMES""";Célébration du 120e anniversaire de la naissance d’Antoine de Saint Exupéry;"À l’heure du 120e anniversaire de sa naissance, c’est l’occasion d’apprendre ou de réapprendre, à le connaître… Notamment à travers l’exposition inédite qui se tiendra à Lyon et à Toulouse à partir du mois d’octobre 2020.

À Toulouse, Antoine de Saint Exupéry est devenu pilote de la ligne Latécoère/ Aéropostale

C’est à Toulouse-Montaudran dans les lieux même où L’Envol des Pionniers est installé qu’Antoine de Saint Exupéry s’est envolé pour la première fois en tant que pilote de l’aéropostale. L’Envol des Pionniers raconte les petites et la grande histoire(s) de ces précurseurs qui ont su dépasser leurs limites pour donner naissance à l’aviation civile française. Car dès 1918 et pendant 15 ans, des aviateurs de légende comme Antoine de Saint Exupéry, Jean Mermoz et Henri Guillaumet, ont foulé le sol de ce site authentique et se sont envolés depuis le champ d’aviation.

A L’Envol des Pionniers les visiteurs découvrent l’histoire de l’aéropostale, de ses Hommes et de ses légendes. A travers une médiation incarnée par des personnages en tenues d’époque (pilotes, mécaniciens, ouvrières entoileuses, passagers, chef d’escale) et des dispositifs muséographiques originaux, le visiteur découvre et revit les prouesses techniques et surtout humaines des débuts du transport du courrier, par-delà les déserts, océans et montagnes.";2020-10-17;2021-08-29;Du mardi au dimanche de 13h00 à 18h00  (Du 17/10 au  1/11 de 10h00 à 18h00);Du 17/10/2020 au 29/08/2021 - Du mardi au dimanche de 13h00 à 18h00  (Du 17/10 au  1/11 de 10h00 à 18h00);;L'ENVOL DES PIONNIERS;La piste des géants;6 rue Jacqueline Auriol;;31400;TOULOUSE;Culturelle;Exposition;Cinéma, Historique, Photographie;Lineo 8, arrêt Piste des Géants;43.5744976;1.4763196;;;www.lenvol-des-pionniers.com;;De 8,00 € à 8,00 €;De 5,00 € à 5,00 €;8 - 12 ans  /  plus de 12 ans;43.5744976,1.4763196
FMAMID031V50HUF7;;EXPOSITION MEANDRES;"Exposition de Christian Lhopital du 19 septembre au 30 octobre 2020 de 10h à 18h
(Du 19 septembre au 31 octobre 2021 en partenariat avec le Printemps de septembre)";"CHRISTIAN LHOPITAL

Christian Lhopital a fait du dessin son médium favori, que ce soit sur de petits carnets de poche ou d'immenses wall drawings. Il fait naître de ses compositions fluides et complexes un univers poétique, oscillant entre le monde de l’enfance et le remue-ménage des adultes, prenant la forme de figures burlesques ou fantasques dont on ne sait si elles procèdent du rêve ou du cauchemar. 

MÉANDRES - UNE EXPOSITION A L'ÉCHELLE DU PAVILLON BLANC

Pour l’exposition de l’automne, Christian Lhopital investit l’ensemble du Pavillon blanc Henri Molina. Intitulé Méandres, son projet s’installe dans la salle d’exposition du centre d’art le temps d’un mois et demi d’exposition (du 19 septembre au 31 octobre 2020) avec un vaste dessin éphémère de 25 m de long, sur les murs de l’atrium au 1er étage avec des fragments de dessins muraux présentés durant un an (du 19 septembre 2020 au 31 octobre 2021), et sur une cimaise au centre de l’atrium, au rez-de-chaussée, avec un ensemble de 9 dessins destinés à l’emprunt par les usagers du Pavillon blanc (du 19 septembre 2020 au 31 octobre 2021). Enfin, au cours de l’automne, un kiosque accueillera sur le parvis du Pavillon blanc des reproductions des dessins réalisés à l’intérieur, faisant le lien entre les espaces intérieurs et l’environnement urbain. Habitué à créer de vastes dessins muraux, ses compositions s’installent ainsi sur les murs monumentaux de l’architecture conçue par Rudy Ricciotti et en cohérence avec les formes voilées du bâtiment.";2020-09-19;2020-10-31;Jeudi et vendredi de 12h à 18h30, mardi, mercredi et samedi de 10h à 18h30;Du 19/09/2020 au 31/10/2020 - Jeudi et vendredi de 12h à 18h30, mardi, mercredi et samedi de 10h à 18h30;;PAVILLON BLANC;;Place Alex Raymond;;31770;COLOMIERS;Culturelle;Exposition;;;43.6099;1.334372;;;www.pavillonblanc-colomiers.fr;Oui;;;;43.6099,1.334372
FMAMID031V50IS8U;;FAIRE SAVOIR TEST LUNDI ET JEUDI;sdsdssdsqdq;ssdssdsdqsds;;;;Le 30/03/2020 Le 02/04/2020 Le 13/04/2020 Le 27/04/2020 Le 30/04/2020 Le 11/05/2020 Le 14/05/2020 Le 25/05/2020 Le 28/05/2020 Le 11/06/2020 Le 22/06/2020 Le 25/06/2020 Le 06/07/2020 Le 09/07/2020 Le 20/07/2020 Le 23/07/2020 Le 03/08/2020 Le 06/08/2020 Le 17/08/2020 Le 31/08/2020 Le 03/09/2020 Le 14/09/2020 Le 17/09/2020 Le 28/09/2020 Le 01/10/2020 Le 12/10/2020 Le 15/10/2020 Le 26/10/2020 Le 29/10/2020 Le 09/11/2020 Le 12/11/2020 Le 23/11/2020 Le 26/11/2020 Le 07/12/2020 Le 10/12/2020 Le 21/12/2020 Le 24/12/2020;;AMANDINE TEST;;;;31500;TOULOUSE;;;;;43.600568;1.433106;;;;;;;;43.600568,1.433106
FMAMID031V50D8FF;;FESTIVAL BRASS DANS LA GARONNE;Festival de fanfares pas que toulousaines organisé par le Collectif Fanfarnaüm;"Le Collectif Fanfarnaüm, association de fanfares de rue toulousaines, réunit ses membres pour organiser la 4ème édition de son festival de fanfares, BRASS dans la GARONNE.
Facile d’accès car en centre-ville de Toulouse, cet événement est ouvert à toutes et tous ! 
Le Collectif vous présentera l’univers des Fanfares de rue d’ici et d’ailleurs le temps d’une chasse au trésor, avec une plongée au coeur de la piraterie fanfaronnesque… préparez-vous à vivre de belles aventures au Jardin des Plantes !";2020-09-19;2020-09-20;;Du 19/09/2020 au 20/09/2020;;JARDIN DES PLANTES;;31 Allée Jules Guesde;;31400;TOULOUSE;Musique;Concert, Festival;Fanfares bandas;Palais de Justice;43.5942159;1.4477525;;;www.brass-dans-la-garonne.fr;Oui;;;;43.5942159,1.4477525
FMAMID031V50JTHB;;GAËL SANTISTEVA;"TALK SHOW
Conférence circassienne performative
A partir de 12 ans
Durée: 1h30";"La vie d’un artiste de cirque avant, pendant et après le cirque, qu’est-ce que c’est ? Dans cette conférence libre et performative, Gaël Santisteva, en maître de cérémonie, invite quatre artistes de cirque à s’exprimer sur leur art. Face public, ils répondent aux questions sans tabou et racontent leurs parcours à l’heure du bilan, non sans un grand sens de la dérision… Ils se prêtent au jeu de la confession, évoquent les déceptions, euphories, frustrations de leur vie de cirque, soulèvent des questions liées à l’âge, à la réussite, au vieillissement, à l’obsolescence dans le monde du travail…

La vulnérabilité de l’être et sa sincérité ici prennent le pas sur sa performance physique. La magie de l’exploit fait place à la réalité anti-magique de la condition humaine. Mais ceux-là ont le spectacle dans le sang, alors, même avec les barrières de l’âge et du corps moins docile, le show prend le dessus pour notre plus grand plaisir.";;;A 20h A 20h;Le 13/10/2020 - A 20h Le 14/10/2020 - A 20h;;THEATRE SORANO;;35 Allées Jules Guesde;;31000;TOULOUSE;Culturelle;Animations, Conférence;;Métro ligne B Palais de Justice;43.594181;1.44895;;;la-grainerie.festik.net;;De 12,00 € à 22,00 €;;plus de 12 ans;43.594181,1.44895
FMAMID031V50JC4L;;GRAFF TOUR DANS LE QUARTIER ARNAUD BERNARD;"Visite guidée proposée par l'office de tourisme. 

Vous voulez visiter la ville différemment et sortir des sentiers battus ? Ces visites vont vous surprendre.";"Durée: 1h00
Le street art s’est fait une vraie place sur nos murs. Dans le quartier Arnaud-Bernard, découvrez ses origines et ses codes, les artistes qui ont marqué Toulouse depuis les années 1990 et, bien sûr, les œuvres encore visibles dans nos rues, comme celle du Latino Graff ou Rose Béton.

RDV place des Tiercerettes. La réservation est conseillée, les places étant limitées.";;;A 10h. A 16h. A 15h. A 15h. A 15h.;Le 06/08/2020 - A 10h. Le 21/08/2020 - A 16h. Le 09/09/2020 - A 15h. Le 16/09/2020 - A 15h. Le 30/09/2020 - A 15h.;;PLACE DES TIERCERETTES;;Place des tiercerettes;;31000;TOULOUSE;Culturelle, Insolite;Visites guidées;Art contemporain, Arts de la rue;Métro ligne B Compans Caffarelli;43.6093871;1.4389765;08 92 18 01 80 (0,45 € TTC/min);infos@toulouse-tourisme.com;;;De 5,00 € à 12,00 €;;;43.6093871,1.4389765
FMAMID031V50ISGR;;GREASE;"La tournée événement pour la première fois en France!
Les 50 ans en 2021.";"Eté 58, un amour de vacances brisé par la rentrée scolaire. Danny, Chef de bande en blouson noir et Sandy, jeune australienne de bonne famille se retrouvent inscrits dans le même lycée ; le père de Sandy a accepté une mutation professionnelle à la fin de l’été. Des retrouvailles mouvementées, des rires, des larmes, des souvenirs enfouis, des projets d’avenir. Les T Birds mené par Danny Zuko et les Pink Ladies par la tumultueuse Rizzo animent les journées au lycée de Rydell : nouvelle saison du championnat de football, pompom girl, soirée entre filles, après-midi mécanique entre garçons, bal, détente au Burger palace, course de voitures. La jeunesse américaine se libère et se divertit sur des musiques rock'n roll.

Jim Jacobs et Warren Casey créent en 1971 un nouveau genre de spectacle, à Chicago, la comédie musicale. Ils tentent leur chance à New-York en 1972 et produisent Grease à l’Eden Theatre. Le public applaudit, la presse est confuse par tant de nouveautés, les professionnels du spectacle les récompensent par 7 nominations aux Tony Awards. Le spectacle s’installe à Broadway et triomphe. En 1978, l’histoire est adaptée au cinéma par Randal Kleiser avec John Travolta et Olivia Newton-John. Grease devient un succès mondial.";2020-10-24;2020-10-24;A 20h30;Le 24/10/2020 - A 20h30;REPORTE;ZENITH TOULOUSE METROPOLE;;11 Avenue Raymond Badiou;;31000;TOULOUSE;Musique;Concert;Musique de variété;Zénith;43.598264;1.4092542;;;zenith-toulousemetropole.com/programmation/grease-2246.html;;;;8 - 12 ans  /  plus de 12 ans;43.598264,1.4092542
FMAMID031V50J806;;GUINGUETTE LE PONEY CLUB;Dans un décor verdoyant et champêtre, à l’entrée de l’Hippodrome de Toulouse, le Poney Club prend ses quartiers pendant deux mois d’été.;"Ce lieu de plein air propose des foodtrucks, des tapas, des bars à Cocktails, un boulodrome ou encore une zone de Pique Nique, et de jeu. Sans oublier de la musique !

Le lieu proposera plusieurs grands rendez-vous durant l’été lors de ses ouvertures les mercredis, jeudis, vendredis et samedis.

Le Poney Club de Toulouse vous accueille donc du 11 juillet au 12 septembre à l’hippodrome de Toulouse. Les réservations sont fortement conseillées car, en période de COVID 19, les places sont limitées.

Réservations via la page Facebook en message privé.";2020-07-11;2020-09-12;De 17h à minuit.;Du 11/07/2020 au 12/09/2020 - De 17h à minuit.;;HIPPODROME DE TOULOUSE;1 CHEMIN DES COURSES;;;31100;TOULOUSE;Insolite, Nature et détente;Animations;Gastronomie;Ligne tramway T1 ou T2 Zénith;43.5914156;1.40677746;;;;;De 5,00 € à 5,00 €;;;43.5914156,1.40677746
FMAMID031V50IZIU;;HORIZONS D'EAUX;Parcours d’art vivant et d’art contemporain sur le canal du Midi;Pour sa 4ème édition, le parcours prend cette année une forme nouvelle en présentant des créations originales en plein air réalisées par des artistes liés à l’Occitanie, lauréats d’un appel à projets lancé en mai. C’est toujours dans un esprit de partage, d’expérimentations, de rencontres et de fêtes autour de la musique et de l’art contemporain que se déroule ce programme dont les œuvres sont visibles jusqu’en septembre.;2020-07-19;2020-09-20;;Du 19/07/2020 au 20/09/2020;;AUX ABORDS DU CANAL DU MIDI;;;;31500;TOULOUSE;Culturelle, Insolite;Exposition;Art contemporain;;43.6014537;1.42945819;;;;;;;;43.6014537,1.42945819
FMAMID031V50JGF3;;JORGE GONZALES BUAJASAN (PIANO AUX JACOBINS);41ème édition du Festival Piano aux Jacobins.;"D’origine cubaine, formé à Paris, Jorge Gonzalez Buajasan a reçu le prix «?Coup de cœur de la Jeune Critique?» au Concours Clara Haskil 2019. Un artiste au jeu tout de passion et d’engagement !

MOZART 
Variations sur «?Ah?! vous dirai-je, maman?» 

BEETHOVEN 
Variations sur une marche de Dressler WoO 63 
Sonate n° 8 «?Pathétique?» 

CHOPIN 
Mazurkas op. 59 
Fantaisie en fa mineur op.49 
Ballade n° 2 
Andante Spianato et Grande Polonaise Brillante";2020-09-11;2020-09-11;De 20h à 22h.;Le 11/09/2020 - De 20h à 22h.;;COUVENT DES JACOBINS;Cloître des Jacobins;Rue Lakanal;;31000;TOULOUSE;Musique;Concert, Festival;Musique classique;Métro ligne A Capitole;43.6037086;1.4398824;;;pianojacobins.festik.net;;7,00 €;;;43.6037086,1.4398824
FMAMID031V50JTFT;;JOURNEES DU PATRIMOINE A LA GRAINERIE;"VISITE GUIDÉE ET FANTAISISTE DU BÂTIMENT DE LA GRAINERIE
Tout public
Durée: 40min";"La Grainerie ouvre ses portes pour les 37es Journées Européennes du Patrimoine. L’occasion pour le public de découvrir l’ancien site qui abritait jadis l’établissement logistique du Commissariat de l’air (ELCA 783). Durant 50 ans, cet établissement aura su relever tous les défis et s’adapter en permanence aux besoins, aux contraintes et aux transformations de l’Armée de l’air jusqu’à sa fermeture définitive en 2002. Reconverti depuis 2010 en une fabrique des arts du cirque et de l’itinérance, la Grainerie y a développé ses activités. 

Cette année, c’est sous la conduite de l’artiste Marie-Aude Jauze que nous vous proposons une nouvelle visite guidée et décalée. Une manière originale de révéler quelques pages de l’histoire du cirque, du site mais aussi de découvrir les activités de la Grainerie.

Gratuit sur réservation";2020-09-20;2020-09-20;A 15h et à 17h;Le 20/09/2020 - A 15h et à 17h;;LA GRAINERIE;;61 Rue Saint-jean;;31130;BALMA;Culturelle;Animations, Portes ouvertes, Visites guidées;;Métro ligne A Balma Gramont;43.622437;1.488283;;;la-grainerie.festik.net;Oui;;;;43.622437,1.488283
FMAMID031V50IV0J;;L’ANNÉE LUDWIG APOTHÉOSE BEETHOVEN (ORCHESTRE NATIONAL DU CAPITOLE DE TOULOUSE);"RÊVER, ÉCOUTER, SE RETROUVER
250ème anniversaire de la naissance de Beethoven

JOSEPH SWENSEN : DIRECTION
CHŒUR DU CAPITOLE : ALFONSO CAIANI CHEF DU CHŒUR
ELZA VAN DEN HEEVER : SOPRANO
CHRISTA MAYER : MEZZO-SOPRANO
NORBERT ERNST : TÉNOR
ROBERT BORK : BARYTON";"La première et la dernière… L’année Ludwig revient aux prémices du génie
beethovénien – la Symphonie n° 1 – avant de rendre hommage à son plus grand chef-d’œuvre symphonique, la Symphonie n° 9. Chant utopique adressé à l’humanité entière, l’Ode à la joie est « le symbole rayonnant de la réconciliation de l’Europe, de la fraternité humaine », selon Romain Rolland. Les musiciens toulousains seront au rendez-vous pour cet ultime volet de l’anniversaire Beethoven.

LUDWIG VAN BEETHOVEN
SYMPHONIE N° 1 EN UT MAJEUR, OP. 21
SYMPHONIE N° 9 “ODE À LA JOIE” EN RÉ MINEUR, OP. 125";2020-12-11;2020-12-11;A 20h.;Le 11/12/2020 - A 20h.;;HALLE AUX GRAINS;;1 Place Dupuy;;31000;TOULOUSE;Culturelle;Concert;Musique classique;Métro ligne B François Verdier;43.6002193;1.4533432;05 61 63 13 13;;www.onct.toulouse.fr;;De 18,00 € à 60,00 €;;;43.6002193,1.4533432
FMAMID031V50CH2I;;L’ANNÉE LUDWIG OUVERTURE : VIVA L’ORCHESTRA ! (ORCHESTRE NATIONAL DU CAPITOLE DE TOULOUSE);"RÊVER, ÉCOUTER, SE RETROUVER
250ème anniversaire de la naissance de Beethoven

TUGAN SOKHIEV - DIRECTION
HAOCHEN ZHANG - PIANO";"Deux monuments de l’orchestre ouvrent cette nouvelle saison :  le visionnaire Concerto n° 3 de Beethoven et l’émouvante Symphonie n° 3 de Brahms. Héroïsme et émotion, deux maîtres-mots que le jeune pianiste chinois Haochen Zhang, lauréat du prestigieux concours Van Cliburn, et Tugan Sokhiev incarnent à laperfection…

LUDWIG VAN BEETHOVEN
FIDELIO, OUVERTURE, OP. 72B
CONCERTO POUR PIANO N° 3
EN UT MINEUR, OP. 37
JOHANNES BRAHMS
SYMPHONIE N° 3 EN FA MAJEUR, OP. 90";2020-09-10;2020-09-10;A 20h.;Le 10/09/2020 - A 20h.;;HALLE AUX GRAINS;;1 Place Dupuy;;31000;TOULOUSE;Culturelle;Concert;Musique classique;Métro ligne B François Verdier;43.5999781;1.45445382;05 61 63 13 13;;www.onct.toulouse.fr;;De 18,00 € à 60,00 €;;;43.5999781,1.45445382
FMAMID031V50IV05;;L’ANNÉE LUDWIG RENCONTRE AU SOMMET (ORCHESTRE NATIONAL DU CAPITOLE DE TOULOUSE);"RÊVER, ÉCOUTER, SE RETROUVER
250ème anniversaire de la naissance de Beethoven

LIO KUOKMAN : DIRECTION ET PIANO
KRISTI GJEZI : VIOLON
MARC COPPEY : VIOLONCELLE";"Deux d’entre eux incarnent l’école française à son sommet : le violon super-solo de l’orchestre, Kristi Gjezi, et le violoncelliste Marc Coppey se connaissent depuis longtemps. Ils se joignent au chef d’orchestre et pianiste Lio Kuokman dans le Triple concerto de Beethoven. Le jeune chef originaire de Macau est l’un
de ces musiciens que les orchestres du monde entier s’arrachent, et ses premières collaborations avec l’ONCT ont été particulièrement remarquées.

LUDWIG VAN BEETHOVEN
TRIPLE CONCERTO POUR VIOLON,
VIOLONCELLE ET PIANO EN UT MAJEUR,
OP. 56
ERICH WOLFGANG KORNGOLD
SUITE D’APRÈS « BEAUCOUP DE BRUIT
POUR RIEN » DE SHAKESPEARE, OP. 11
RICHARD STRAUSS
LE CHEVALIER À LA ROSE : SUITE DE
VALSES POUR ORCHESTRE, OP. 59";2020-10-16;2020-10-16;A 20h.;Le 16/10/2020 - A 20h.;;HALLE AUX GRAINS;;1 Place Dupuy;;31000;TOULOUSE;Culturelle;Concert;Musique classique;Métro ligne B François Verdier;43.6002193;1.4533432;05 61 63 13 13;;www.onct.toulouse.fr;;De 18,00 € à 60,00 €;;;43.6002193,1.4533432
FMAMID031V50IV32;;L’AUBE DES MODERNES (ORCHESTRE NATIONAL DU CAPITOLE DE TOULOUSE);"RÊVER, ÉCOUTER, SE RETROUVER

DANS LE CADRE DE LA TROISIÈME ÉDITION DES MUSICALES FRANCO-RUSSES

TUGAN SOKHIEV : DIRECTION
BERTRAND CHAMAYOU : PIANO
ORFEÓN DONOSTIARRA - JOSÉ ANTONIO SAINZ ALFARO : CHEF DU CHŒUR";"Ils firent tous deux l’actualité du monde musical ; chacun d’entre eux révolutionna l’orchestre ; ils laissent des pièces emblématiques d’une effervescence européenne que la Première Guerre mondiale n’avait pas encore brisée… Debussy et Stravinski sont réunis pour un concert d’une flamboyante modernité, porté par deux passionnés du XXe siècle : Tugan Sokhiev et Bertrand Chamayou.

CLAUDE DEBUSSY
NOCTURNES, TRIPTYQUE SYMPHONIQUE AVEC CHŒUR DE FEMMES
IGOR STRAVINSKI
CAPRICCIO POUR PIANO ET ORCHESTRE
PETROUCHKA";2021-04-01;2021-04-01;A 20h.;Le 01/04/2021 - A 20h.;;HALLE AUX GRAINS;;1 Place Dupuy;;31000;TOULOUSE;Culturelle;Concert;Musique classique;Métro ligne B François Verdier;43.6002193;1.4533432;05 61 63 13 13;;www.onct.toulouse.fr;;De 18,00 € à 60,00 €;;;43.6002193,1.4533432
FMAMID031V50JIFX;;LA 8E SYMPHONIE DE WIDOR (TOULOUSE LES ORGUES);"Un monument de l’orgue à redécouvrir
Grand récital";"La huitième symphonie, d’une grande variété d’écriture, est la plus imposante des symphonies de Widor. Après l’avoir enregistrée sur l’orgue de Saint-Sernin, Jean-Baptiste Dupont nous propose de l’entendre en intégralité dans la version de 1929 pour la première fois dans le Festival international Toulouse les Orgues.

AU PROGRAMME
8e Symphonie de C.M. Widor

INTERPRETES
Jean-Baptiste DUPONT, orgue

Ouverture de la billetterie : Lundi 21 septembre 2020
Réservation fortement conseillée en raison du contexte sanitaire";2020-10-14;2020-10-14;A 12h30.;Le 14/10/2020 - A 12h30.;;BASILIQUE SAINT-SERNIN;;Place Saint Sernin;;31000;TOULOUSE;Culturelle;Concert, Festival;Musical;Métro ligne B Jeanne d'Arc;43.607964;1.440742;05 61 33 76 87;;billetterie.toulouse-les-orgues.org;;De 5,00 € à 12,00 €;;;43.607964,1.440742
