identifiant_id;nom_de_l_organisme;adresse_de_l_organisme;code_postal;commune;lien_vers_la_ressource;description_des_contenus_et_de_l_experience_proposes_min_200_max_500_caracteres;si_enfants_merci_de_preciser_le_niveau_scolaire;titre_de_la_ressource;activite_proposee_apprendre_se_divertir_s_informer;public_cible;types_de_ressources_proposees;thematiques;contenus_adaptes_aux_types_de_handicap;temps_d_activite_estime_lecture_ecoute_visionnage_jeu;accessibilite_perennite_de_la_ressource;rattachement_de_l_organisme;autre_precisez;si_limite_dans_le_temps_precisez_jusqu_a_quelle_date;autres_preciez;adresse;latitude;longitude;geolocalisation
640;Archives nationales;59 rue Guynemer;93383;Pierrefitte-sur-Seine;http://www.archives-nationales.culture.gouv.fr/fr/web/guest/visites-virtuelles;"Plongez dans les expositions des Archives nationales pour découvrir la scénographie et les documents comme si vous y étiez ! Retrouvez les expositions ""Quand les artistes dessinaient les cartes"" ou ""68, les archives du pouvoir"".";;Visites virutelles;Expos, musées;Tous publics;Expositions virtuelles;Histoire;;Le temps de manger un sandwich pendant une pause déjeuner;Accès permanent;Ministère de la Culture ou opérateur national;;;;59 rue Guynemer 93383 Pierrefitte-sur-Seine;48.9470593;2.3623654;48.9470593,2.3623654
641;Archives nationales d'outre-mer;29, chemin du moulin de Testas;13001;Aix-en-Provence;http://www.archivesnationales.culture.gouv.fr/anom/fr/Action-culturelle/Dossiers-thematiques.html;Réalisés à partir des fonds documentaires : des représentations de la ville d'Hanoï aux bagnes de Guyane, en passant par les costumes de l'Union française.;;Dossiers thématiques;Approfondir ses connaissances;Tous publics;"Images, collections numérisées, bases de données;Expositions virtuelles";Archives;;Le temps d’une soirée;Accès permanent;Ministère de la Culture ou opérateur national;;;;29, chemin du moulin de Testas 13001 Aix-en-Provence;43.5146511;5.4482154;43.5146511,5.4482154
644;ART'M - Créateurs Associés;10 rue Marius Patinaud;42000;Saint-etienne;http://www.exporire.org/;Pourquoi rions-nous ? L’humain est-il vraiment seul à rire ? Par le biais de vidéos, de textes et de jeux, nous vous proposons d’en apprendre plus sur le rire, comprendre d’où vient ce trait commun à tous les âges, à toutes les cultures, à tous les milieux sociaux, à toutes les époques.;;Rire - La science aux éclats;Expos, musées;Tous publics;Expositions virtuelles;Sciences;;Le temps d’un vrai déjeuner;Accès permanent;Organisme privé;;;;10 rue Marius Patinaud 42000 Saint-etienne;45.4512589;4.3868656;45.4512589,4.3868656
649;ARTE;8 Rue Marceau;92130;Issy-les-Moulineaux;http://www.arte.tv/concert;Pour tous ceux qui ne peuvent plus assister à des spectacles, l'offre musicale d'ARTE avec des centaines de concerts à travers l'Europe et le monde, des documentaires musicaux et de premiers projets de soutien à l'industrie culturelle européenne en ce temps de crise.</p>;;ARTE Concert;Concerts, spectacles;Tous publics;"Vidéo, flux en direct, programmes en différé;Expositions virtuelles";"Audiovisuel;Musique, concerts et opéras";;Toute une vie ne suffit pas;Accès permanent;Ministère de la Culture ou opérateur national;;;;8 Rue Marceau 92130 Issy-les-Moulineaux;48.8270089;2.2714055;48.8270089,2.2714055
652;Association des conservateurs des musées des Hauts-de-France;23 grand place;59100;Roubaix;https://webmuseo.com/ws/musenor/app/collection/expo/1;Découvrez les collections des musées de la région Hauts-de-France à travers des parcours thématiques. Une façon originale et transversale d'approcher les oeuvres conservées dans la région.;;Musenor;Expos, musées;Tous publics;Images, collections numérisées, bases de données;"Architecture et patrimoine;Histoire;Musées;Peinture;Sculpture";;Le temps d’un vrai déjeuner;Accès permanent;Organisme privé;;;;23 grand place 59100 Roubaix;50.6912479;3.1754203;50.6912479,3.1754203
661;Audiovisit;508 Avenue du 8 Mai 1945;69300;Caluire-et-Cuire;https://shows.acast.com/le-son-de-peinture?fbclid=IwAR3sSXmqRVyW-XltxR1Ml--LLl10XhlD_26j8ffnNdCVsUFpXDwIzZeSpQo;350 chefs-d’œuvre de la peinture en 350 épisodes de 2 minutes ! 7 siècles d’histoire de la peinture au travers de 112 artistes dont : Modigliani, Renoir, Pissarro, Caravaggio, Friedrich, Monet, Velasquez, Degas, Manet, Delacroix, Picabia, Goya, Boucher, de la Tour, Courbet, David, van Eyck, Ingres, Fragonard, Turner, de Vinci, Cranach, Poussin, Véronèse, Cézanne, Gauguin, Klee, Rubens, Bonnard, Bruegel, Raphael, Rembrandt, Botticelli, Titien, van Gogh, Kandinsky…</p>;;Le son de peinture;Audios;Tous publics;Audio, radio, podcasts;"Arts visuels;Musées;Peinture";;Le temps d’une soirée;Accès permanent;Organisme privé;;;;508 Avenue du 8 Mai 1945 69300 Caluire-et-Cuire;45.7950243;4.8506841;45.7950243,4.8506841
664;Bayard Presse;18 Rue Barbès;92120;Montrouge;https://podcast.ausha.co/histoires-jeunesse;Histoires de jeunesse est un podcast qui vous emmène à la rencontre d’écrivains pour la jeunesse et vous fait entrer dans les coulisses de leurs créations.;;Podcast Histoires de jeunesse;Audios;Tous publics;Audio, radio, podcasts;Littérature, sciences humaines, langues;;Le temps de manger un sandwich pendant une pause déjeuner;Accès permanent;Organisme privé;;;;18 Rue Barbès 92120 Montrouge;48.8168517;2.3277921;48.8168517,2.3277921
669;Bibliothèque municipale;5 rue de l'école-de-droit;21000;Dijon;https://www.jigsawplanet.com/BMDijon?rc=upuzzles;Près de 200 puzzles pour les jeunes ou les adultes, sur des thématiques variées (chats, chiens, contes, fables, paysages, fleurs, art nouveau...) ont été créés à partir de nos images patrimoniales.;;Les puzzles patrimoniaux;Jeux;Tous publics;Jeux;"Littérature, sciences humaines, langues;Peinture";;Le temps d’une soirée;Accès permanent;Collectivité territoriale;patrimoine écrit;;;5 rue de l'école-de-droit 21000 Dijon;47.3191646;5.0420836;47.3191646,5.0420836
670;Bibliothèque municipale;Rue Jean de Dormans;02200;Soissons;https://my.matterport.com/show/?m=Wcxj68V4mFh;La ville de Soissons regorge de trésors patrimoniaux. Grâce à cet outil de visite virtuelle, flânez à travers les rayonnages et découvrez quelques-uns des joyaux de notre collection, d’ordinaire peu accessibles pour des raisons de conservation. Un contenu augmenté vous permet d’en feuilleter les plus belles pages ou de les resituer dans un contexte historique.;;Visite virtuelle du fonds patrimonial;Expos, musées;Tous publics;Expositions virtuelles;Littérature, sciences humaines, langues;;Le temps de manger un sandwich pendant une pause déjeuner;Accès permanent;Collectivité territoriale;;;;Rue Jean de Dormans 2200 Soissons;49.3862186;3.3278465;49.3862186,3.3278465
676;Bibliothèque nationale de France (BNF);Quai François Mauriac;75706;Paris;https://gallica.bnf.fr/html/und/presse-et-revues/presse-et-revues?mode=desktop&fbclid=IwAR0DP4W4kwieRKUKq-LFYW4IVVZwS-n0D2AYnolVL6G88mtl7ypj57s7WzY;Des sélections des titres de presse et de revues sont disponibles sur Gallica, organisés par types de publications (quotidiens, hebdomadaires, revues), par thématiques, par aires géographiques ou par périodes historiques.;;Gallica - Presses et revues;Actualités, débats;Tous publics;Livres numériques;"Histoire;Littérature, sciences humaines, langues";;Toute une vie ne suffit pas;Accès permanent;Ministère de la Culture ou opérateur national;;;;Quai François Mauriac 75706 Paris;48.8339111;2.3776154;48.8339111,2.3776154
683;Bibliothèque nationale de France (BNF);Quai François Mauriac;75013;Paris;https://www.bnf.fr/fr/masterclasses-litteraires;Podcasts des master classes littéraires de la BnF en partenariat avec France culture et le Centre National du Livre : des écrivains contemporains se confient sur la fabrique de leur création. Entretiens avec Amélie Nothomb, Geneviève Brisac, Joann Sfar, Hélène Cixous, Éric Vuillard, Kamel Daoud, Éric Reinhardt, Pierre Lemaître....;;Master classes littéraires;Audios;Tous publics;Audio, radio, podcasts;Littérature, sciences humaines, langues;;Le temps d’un vrai déjeuner;Accès permanent;Ministère de la Culture ou opérateur national;;;;Quai François Mauriac 75013 Paris;48.8339111;2.3776154;48.8339111,2.3776154
685;Bibliothèque nationale de France (BNF);Quai François Mauriac;75706;Paris;https://cirque-cnac.bnf.fr/;Cette encyclopédie numérique des arts du cirque propose une découverte  des disciplines de cirque depuis les origines. Elle donne accès à une iconographie et des ressources en grande partie inédites et dessine un parcours qui va des pratiques lointaines jusqu'aux spectacles les plus  innovants et créatifs du cirque contemporain.;;Les arts du cirque : l'encyclopédie;Expos, musées;Tous publics;Expositions virtuelles;Arts du cirque, arts de la rue;;Le temps de manger un sandwich pendant une pause déjeuner;Accès permanent;Ministère de la Culture ou opérateur national;;;;Quai François Mauriac 75706 Paris;48.8339111;2.3776154;48.8339111,2.3776154
686;Bibliothèque nationale de France (BNF);Quai François Mauriac;75706;Paris;https://gallica.bnf.fr/html/und/videos/la-radio-television-scolaire?mode=desktop;Sélection de plus de 700 programmes de la « radio-télévision scolaire » produits entre 1954 à 2004. Ces émissions illustrent toutes les disciplines de l’enseignement scolaire (Philosophie, Histoire Géographie…). Sources historiques précieuses, elles sont les témoins d’expérimentations éducatives, de transformations de la société française de l’après-guerre et le symbole de l’ouverture culturelle.;;La radio-télévision scolaire;Films, documentaires, vidéos;Tous publics;Vidéo, flux en direct, programmes en différé;Audiovisuel;;Toute une vie ne suffit pas;Accès permanent;Ministère de la Culture ou opérateur national;;;;Quai François Mauriac 75706 Paris;48.8339111;2.3776154;48.8339111,2.3776154
688;Bibliothèque nationale de France (BNF);Quai François Mauriac;75013;Paris;https://www.youtube.com/results?search_query=bnf+collection+sonore+-+jazz+%26+blues;"BnF collection sonore permet d'écouter ou de réécouter de très nombreux enregistrements sonores extraits des collections de la BnF, parmi lesquels des trésors du jazz et du blues ; Louis Amstrong, Ella Fitzgerald, Charlie Parker...";;BnF Collection sonore - jazz & blues;Audios;Tous publics;Audio, radio, podcasts;Musique, concerts et opéras;;Le temps d’une soirée;Accès permanent;Ministère de la Culture ou opérateur national;;;;Quai François Mauriac 75013 Paris;48.8339111;2.3776154;48.8339111,2.3776154
700;Centre chorégraphique national - Créteil;1 Place Salvador Allende;94000;Créteil;https://vimeo.com/showcase/6881566;Plusieurs captations intégrales de spectacles de Mourad Merzouki sont exceptionnellement disponibles en ligne : en confinement il est temps de (re)découvrir Boxe Boxe Brasil, Cartes Blanches, Pixel, Yo Gee Ti, Käfig Brasil, Boxe Boxe, Correria Agwa, Terrain Vague et Récital.</p>;;Captations Intégrales;Concerts, spectacles;Tous publics;"Vidéo, flux en direct, programmes en différé;Expositions virtuelles";Danse;;Le temps d’une soirée;Accès gratuit exceptionnel et limité dans le temps;Ministère de la Culture ou opérateur national;;2020-06-30T00:00:00;;1 Place Salvador Allende 94000 Créteil;48.7776722;2.4530087;48.7776722,2.4530087
712;Centre national de la recherche scientifique (CNRS);3 rue Michel-Ange;75015;Paris;https://www.youtube.com/channel/UCRHBpvcASQs852H0t4mt1zA/playlists;Retrouvez les recherches menées dans les laboratoires du CNRS, les grandes questions que pose la science aujourd’hui et les talents du CNRS dans nos différents formats vidéos : des reportages, des documentaires, des portraits, des live et des débats.;;Chaîne Youtube;Films, documentaires, vidéos;Tous publics;Vidéo, flux en direct, programmes en différé;Sciences;;Toute une vie ne suffit pas;Accès permanent;Organisme labellisé, conventionné ou subventionné par le ministère de la culture;;;;3 rue Michel-Ange 75015 Paris;48.8476037;2.2639934;48.8476037,2.2639934
714;Centre national des arts du cirque;1 rue du cirque;51000;Châlons-en-Champagne;http://cnac.tv;Un ensemble de 700 extraits vidéo sur le cirque contemporain : spectacles du Centre national des arts du cirque, de compagnies au Festival CIRCa et jeunes artistes au festival CircusNext, présentations de projets de recherche</p>;;WebTV;Films, documentaires, vidéos;Tous publics;Vidéo, flux en direct, programmes en différé;Arts du cirque, arts de la rue;;Le temps d’une soirée;Accès permanent;Ministère de la Culture ou opérateur national;;;;1 rue du cirque 51000 Châlons-en-Champagne;48.951042;4.362637;48.951042,4.362637
735;Cinémathèque de Bretagne;2 avenue Clémenceau;29200;Brest;https://www.cinematheque-bretagne.bzh/Base-documentaire-426-0-0-0.html;Plus de 6000 films numérisés. Une invitation à la découverte du patrimoine cinématographique et audiovisuel des cinq départements de la Bretagne historique. Ces films - essentiellement amateurs - ont été tournés en Bretagne ou par des bretons. Ils ont été collectés, documentés et numérisés par la Cinémathèque de Bretagne depuis sa création en 1986.;;Plus de 6000 films numérisés;Films, documentaires, vidéos;Tous publics;Vidéo, flux en direct, programmes en différé;"Audiovisuel;Arts numériques";;Toute une vie ne suffit pas;Accès permanent;Organisme labellisé, conventionné ou subventionné par le ministère de la culture;;;;2 avenue Clémenceau 29200 Brest;48.3889701;-4.4845147;48.3889701,-4.4845147
736;Cinémathèque de Nouvelle-Aquitaine;4 avenue de la Révolution;87000;Limoges;https://www.memoirefilmiquenouvelleaquitaine.fr/films;Le site mémoire filmique de Nouvelle-Aquitaine offre au visiteur l'accès à un catalogue de milliers de films numérisés, conservés et indexés par la Cinémathèque de Nouvelle-Aquitaine. Ces films, principalement films de famille, sont des marqueurs indissociables de notre histoire;;Films amateurs;Films, documentaires, vidéos;Tous publics;"Vidéo, flux en direct, programmes en différé;Ressources pédagogiques;Images, collections numérisées, bases de données";"Audiovisuel;Cinéma;Histoire";;Toute une vie ne suffit pas;Accès permanent;Organisme privé;;;;4 avenue de la Révolution 87000 Limoges;45.8198222;1.2646372;45.8198222,1.2646372
746;Cité des sciences et de l'industrie;211 Avenue Jean Jaurès;75019;Paris;http://www.cite-sciences.fr/lascienceestla/exposition-coronavirus/;Universcience propose une exposition dans un nouveau format accessible à tous, pour que chacun puisse comprendre les aspects scientifiques de l’épidémie de Covid-19.;;Coronavirus : ce que sait la science !;Approfondir ses connaissances;Tous publics;Expositions virtuelles;"Sciences;Musées";;Le temps de manger un sandwich pendant une pause déjeuner;Accès permanent;Ministère de la Culture ou opérateur national;;;;211 Avenue Jean Jaurès 75019 Paris;48.8890923;2.394432;48.8890923,2.394432
747;Cité internationale de la bande dessinée et de l’image;Quai de la Charente;16000;Angoulême;http://collections.citebd.org/in/faces/homeInBook.xhtml;Consultation et recherche simultanée sur toutes les collections numérisées de la Cité, qui comprennent à ce jour 8 300 documents (6 683 fascicules de périodiques, 1 433 planches, 82 cahiers manuscrits , 72 albums, 20 titres de presse);;Collections numérisées de la bande-dessinée;Expos, musées;Tous publics;Images, collections numérisées, bases de données;Bande dessinée;;Le temps de manger un sandwich pendant une pause déjeuner;Accès permanent;Ministère de la Culture ou opérateur national;;;;Quai de la Charente 16000 Angoulême;45.654889;0.150133;45.654889,0.150133
748;Cité internationale des arts;18 rue de l'Hôtel de Ville;75004;Paris;https://www.citedesartsparis.net/fr/actualite-work-in-progress-everyday;Un centre de résidences ne s’arrête jamais : c’est avant tout un lieu de vie et de travail avant d’être celui de la diffusion. Malgré le contexte, la création vit toujours au cœur de la Cité internationale des arts. Nous avons décidé d’aller virtuellement frapper aux portes des ateliers des artistes en résidence ici à Paris et de ceux qui en sont partis pour montrer que la création continue à se faire.;;Work in progress (everyday);Expos, musées;Tous publics;Vidéo, flux en direct, programmes en différé;"Arts décoratifs, design, métiers d’art;Arts visuels";;Le temps de manger un sandwich pendant une pause déjeuner;Accès gratuit exceptionnel et limité dans le temps;Organisme privé;;2020-06-30T00:00:00;;18 rue de l'Hôtel de Ville 75004 Paris;48.8539539;2.3572164;48.8539539,2.3572164
754;Comédie Française;1 Place Colette;75001;Paris;https://www.francetelevisions.fr/et-vous/notre-tele/a-ne-pas-manquer/au-theatre-chez-soi-2439;"La Comédie-Française continue .......sur sa chaîne éphémère et sur d'autres écrans. France Télévisions lance sur France 5 et en simultané sur sa plateforme france.tv, en première partie de soirée, une case "" théâtre"" dédiée à la Comédie-Française et aux créations de la Troupe. Ce programme sera diffusé chaque dimanche soir, du 29 mars au 24 mai.</p>";;Au théâtre chez soi;Concerts, spectacles;Tous publics;Vidéo, flux en direct, programmes en différé;Théâtre, Spectacles;;Le temps d’une soirée;Accès permanent;Ministère de la Culture ou opérateur national;;;;1 Place Colette 75001 Paris;48.8635708;2.3359376;48.8635708,2.3359376
764;Danser Canal Historique;;75000;Paris;http://www.dansercanalhistorique.fr/;Sélection spéciale du magazine spécialisé sur danse en ligne : critiques, articles, vidéos, portraits,...;;Restez chez vous;Concerts, spectacles;Tous publics;"Vidéo, flux en direct, programmes en différé;Expositions virtuelles";Danse;;Le temps de manger un sandwich pendant une pause déjeuner;Accès gratuit exceptionnel et limité dans le temps;Organisme privé;;2020-06-30T00:00:00;;75000 Paris;48.8785419;2.3642198;48.8785419,2.3642198
766;Département de l'Ain;Hôtel du Département - 45, avenue Alsace Lorraine - CS 10114;01003;Bourg en Bresse;http://patrimoines.ain.fr/n/patrimoine-culturel/n:74;"Archéologie, architecture, décors &amp; mobiliers, villes et villages, patrimoine immatériel,...</p>";;Patrimoine culturel;Approfondir ses connaissances;Tous publics;Images, collections numérisées, bases de données;"Architecture et patrimoine;Monuments historiques";;Le temps de manger un sandwich pendant une pause déjeuner;Accès permanent;Collectivité territoriale;;;;Hôtel du Département - 45, avenue Alsace Lorraine - CS 10114 1003 Bourg en Bresse;46.2029194;5.2225538;46.2029194,5.2225538
768;Département des Pyrénées-orientales;24 quai Sadi Carnot;66000;Perpignan;https://visitezlepayscatalan.fr/visite-virtuelle.html;Châteaux et monuments, sites historiques, sites naturels, villages, patrimoine religieux,...</p>;;Visites virtuelles en pays catalan;Expos, musées;Tous publics;Expositions virtuelles;"Architecture et patrimoine;Monuments historiques";;Le temps de manger un sandwich pendant une pause déjeuner;Accès permanent;Collectivité territoriale;;;;24 quai Sadi Carnot 66000 Perpignan;42.7000588;2.8935505;42.7000588,2.8935505
775;Domaine de Chantilly - Musée Condé;7, rue du connétable;60500;Chantilly;https://www.youtube.com/channel/UCz3SI7fH-AbuykSdg2UwBOQ/videos;De la visite du jardin anglo-chinois du domaine aux tableaux expliqués et commentez, tous les savoirs accessibles depuis chez vous !;;Chaîne Youtube;Films, documentaires, vidéos;Tous publics;Vidéo, flux en direct, programmes en différé;"Architecture et patrimoine;Histoire;Parcs et jardins";;Le temps d’un vrai déjeuner;Accès permanent;Organisme labellisé, conventionné ou subventionné par le ministère de la culture;;;;7, rue du connétable 60500 Chantilly;49.1942602;2.4795752;49.1942602,2.4795752
777;Domaine national de Chambord;Château;41250;Chambord;https://www.chambord.org/fr/communication-presse/les-projets-numeriques/institut-culturel-de-google/;Les internautes du monde entier peuvent appréhender la beauté du Domaine national de Chambord, inscrit au patrimoine mondial de l’Unesco depuis 1981, explorer les 80 pièces du château ouvertes à la visite et admirer un florilège d’objets d’art issus des collections de Chambord.;;Expositions virtuelles;Expos, musées;Tous publics;Images, collections numérisées, bases de données;Architecture et patrimoine;;Le temps d’un vrai déjeuner;Accès permanent;Organisme labellisé, conventionné ou subventionné par le ministère de la culture;;;;Château 41250 Chambord;47.6154538;1.5176654;47.6154538,1.5176654
779;Ecole du Louvre;Palais du Louvre Place du Carrousel, Porte Jaujard;75001;Paris;http://www.ecoledulouvre.fr/documentation/phototheque/expositions-virtuelles;Liste d'une centaine d'expositions virtuelles à travers le monde, sélectionnées et choisies par des maîtres de conférences de l'école du Louvre;;Expositions virtuelles;Expos, musées;Tous publics;Expositions virtuelles;"Musées;Peinture;Sculpture";;Le temps d’un vrai déjeuner;Accès permanent;Ministère de la Culture ou opérateur national;;;;Palais du Louvre Place du Carrousel, Porte Jaujard 75001 Paris;48.860955;2.331259;48.860955,2.331259
